text,label
"Ma douche ne fonctionne plus","douche_request"
"Il n'y a plus d'eau chaude dans la douche","douche_request"
"La douche coule partout","douche_request"
"Quelqu'un peut réparer la douche ?","douche_request"
"J'ai un problème avec la pression de la douche","douche_request"
"La pomme de douche est brisée","douche_request"
"L'eau est trop froide dans ma douche","douche_request"
"Je ne peux pas prendre ma douche","douche_request"
"Mon lavabo goutte en dessous","fuite_lavabo"
"Le lavabo est bouché et il y a une fuite","fuite_lavabo"
"Je vois de l'eau qui s'échappe sous le lavabo","fuite_lavabo"
"Le tuyau sous mon évier fuit","fuite_lavabo"
"De l'eau s'accumule dans mon lavabo","fuite_lavabo"
"Je vois de la moisissure autour du lavabo","fuite_lavabo"
"J'ai repéré une fuite autour du robinet du lavabo","fuite_lavabo"
"Mon lavabo est endommagé","fuite_lavabo"
"Mon appartement n'a plus de courant","electricite_probleme"
"Les lumières clignotent de manière aléatoire","electricite_probleme"
"Je crois qu'il y a un court-circuit chez moi","electricite_probleme"
"Mes prises électriques ne fonctionnent pas","electricite_probleme"
"Mes fusibles sautent souvent","electricite_probleme"
"Le disjoncteur se coupe sans arrêt","electricite_probleme"
"Je n'ai plus d'électricité dans la chambre","electricite_probleme"
"Il y a des étincelles dans ma prise","electricite_probleme"
"Bonjour","salutation"
"Salut, ça va ?","salutation"
"Coucou","salutation"
"Hey, comment ça va ?","salutation"
"Allô","salutation"
"Bonsoir","salutation"
"Hello","salutation"
"Salut, j'ai une question","salutation"
"Salut","salutation"
"Bonjour","salutation"
"Bonsoir","salutation"
"Hello","salutation"
"Hi","salutation"
"Bonjour, comment ça va?","salutation"
"Salut tout le monde","salutation"
"Coucou","salutation"
"Bien le bonjour","salutation"
"Yo","salutation"
"Good morning","salutation"
"Bonne journée","salutation"
"Je ne trouve pas mes clés","autre"
"C'est mon anniversaire","autre"
"Le voisin fait trop de bruit","autre"
"J'ai un chaton qui miaule beaucoup","autre"
"Je veux commander une pizza","autre"
"Ma boîte aux lettres est cassée","autre"
"Je voudrais me plaindre du service","autre"
"Je ne sais pas comment faire","autre"
